2.500000000000000000e+01,-1.011565848262292775e+02
2.525252525252525260e+01,-1.011567881247619027e+02
2.550505050505050519e+01,-1.011476714260620042e+02
2.575757575757575779e+01,-1.011292347301295962e+02
2.601010101010101039e+01,-1.011014780369647070e+02
2.626262626262626299e+01,-1.010644013465673083e+02
2.651515151515151558e+01,-1.010180046589374285e+02
2.676767676767676818e+01,-1.009622879740750250e+02
2.702020202020202078e+01,-1.008972512919801261e+02
2.727272727272727337e+01,-1.008228946126527035e+02
3.358585858585858830e+01,-9.593497852890496347e+01
3.383838383838384090e+01,-9.561830192153254870e+01
3.409090909090909349e+01,-9.529230531692762440e+01
3.434343434343434609e+01,-9.495698871509020478e+01
3.585858585858586167e+01,-9.274936916218315730e+01
3.611111111111111427e+01,-9.234881257971824198e+01
3.686868686868687206e+01,-9.109122284892843879e+01
3.888888888888888573e+01,-8.732757035525897038e+01
3.939393939393939092e+01,-8.629345725951658608e+01
3.964646464646465063e+01,-8.576242071579662252e+01
4.949494949494949481e+01,-5.778239766936839317e+01
4.974747474747474740e+01,-5.687856123634840344e+01
5.000000000000000000e+01,-5.596540480609591839e+01
